Agent,Monster,Tree2,Tree7,Tree12,Tree17,Tree22,test_idx,fact_id,sf_found
6.0,8.0,2.0,1.0,0.0,2.0,1.0,0,2,1
6.0,4.0,2.0,1.0,0.0,1.0,1.0,1,3,1
6.0,9.0,0.0,1.0,2.0,1.0,1.0,2,4,1
6.0,18.0,1.0,1.0,0.0,1.0,2.0,3,14,1
10.0,23.0,0.0,2.0,0.0,2.0,1.0,4,17,1
11.0,4.0,0.0,0.0,1.0,2.0,2.0,5,19,1
6.0,23.0,2.0,0.0,1.0,0.0,0.0,6,20,1
11.0,23.0,1.0,1.0,1.0,0.0,0.0,7,21,1
6.0,8.0,2.0,1.0,0.0,2.0,1.0,8,22,1
6.0,4.0,2.0,1.0,0.0,1.0,1.0,9,23,1
6.0,9.0,0.0,1.0,2.0,1.0,1.0,10,24,1
11.0,23.0,1.0,0.0,1.0,1.0,0.0,11,25,1
6.0,8.0,2.0,2.0,0.0,1.0,2.0,12,26,1
16.0,14.0,0.0,1.0,1.0,2.0,1.0,13,27,1
15.0,23.0,2.0,2.0,0.0,2.0,0.0,14,28,1
6.0,23.0,1.0,2.0,2.0,2.0,1.0,15,29,1
10.0,3.0,2.0,1.0,0.0,1.0,1.0,16,30,1
21.0,23.0,1.0,0.0,1.0,1.0,1.0,17,31,1
10.0,19.0,0.0,2.0,0.0,1.0,1.0,18,32,1
10.0,4.0,1.0,2.0,2.0,0.0,0.0,19,33,1
6.0,18.0,1.0,1.0,0.0,1.0,2.0,20,34,1
16.0,8.0,1.0,1.0,1.0,0.0,0.0,21,35,1
15.0,19.0,1.0,0.0,0.0,1.0,1.0,22,36,1
21.0,23.0,0.0,2.0,0.0,2.0,1.0,23,37,1
16.0,3.0,0.0,1.0,2.0,0.0,0.0,24,38,1
11.0,4.0,0.0,0.0,1.0,2.0,2.0,25,39,1
